asv_id	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV01945	Fungi	Ascomycota	Dothideomycetes	Coniosporiales	Coniosporiaceae	Coniosporium	apollinis
ASV01946	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae		
ASV01950	Fungi	Ascomycota					
ASV01951	Fungi	Ascomycota	Dothideomycetes			Monodictys	putredinis
ASV01952	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Litschauerella	
ASV01953	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	
ASV01956	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	fumigatus
ASV01958	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	
ASV01962	Fungi	Ascomycota					
ASV01965	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	pulchella
ASV01966	Fungi	Blastocladiomycota					
ASV01967	Fungi	Ascomycota				Tricellula	
ASV01970	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	tofieldiae
ASV01972	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	
ASV01973	Fungi	Kickxellomycota	Ramicandelaberomycetes	Ramicandelaberales	Ramicandelaberaceae	Ramicandelaber	
ASV01977	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae		
ASV01979	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Marcelleina	
ASV01980	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Constantinomyces	
ASV01982	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	olivacea
ASV01983	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Didymocyrtis	septata
ASV01985	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae		
ASV01989	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	Bezerromycetaceae	Bezerromyces	
ASV01990	Fungi	Chytridiomycota					
ASV01991	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paracamarosporium	
ASV01993	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Kalmusia	utahensis
ASV01994	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	uniguttulatus
ASV01997	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	digitatum
ASV01998	Fungi						
ASV02001	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Tricharina	ochroleuca
ASV02002	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	
ASV02003	Fungi	Ascomycota					
ASV02006	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Typhulaceae		
